Animal;Symbolism
Monkey;"foolishness, frivolity, deceit"
Ass;"simplicity, sloth, patience"
Bear;"courage, strength, prudence"
Beaver;"industry, wisdom, foresight, self-preservation, healing"
Boar;sensuality
Stag deer;"long life, hearing, wisdom, policy, honesty, self-defense, preparedness, renewal, preciousness"
Roe deer;"wisdom, swiftness, flight, tenderness"
Antelope;"strength, fierceness"
Bull;"labor, industry, humble obedience, restraint on impertinence"
Camel;"jealousy, reverence to mothers, abstinence in eating and drinking, obedience"
Cat;"liberty, wit, cunning, beauty, pride, playfulness, merriment"
Chameleon;"patience, endurance, abstinence, adaptability, pacifism"
Rooster;"valor, courage, fortitude, vigilance"
Crane;"vigilance, discipline, courage, strength, wisdom, prudence, filial love, justice, longevity"
Dog talbot;"loyalty, prudence, providence, sagacity"
Dog greyhound;"swiftness, gentleness, nobility"
Dolphin;"chastity, safety, sobriety, love, gentleness, friendship"
Dove;"innocence, purity, peace, reconciliation, forgiveness, constancy, loyalty, divine presence, approval, wisdom, humility, simplicity"
Dragon;"violence, imperiousness, courage, sovereignty, power, dominance"
Eagle;"strength, boldness, hardiness, royalty, majesty, fortitude, freedom, grievance, jealousy, honor, labor, diligence, valor, vigilance, justice, wisdom, purity, vigor"
Elephant;"strength, ingenuity, ambition for praise, devotion, piety, gentleness, virtue, docility, intelligence, loyalty, mercy, forgiveness, chastity, modesty"
Falcon;"moderation, sobriety, temperance, faithfulness, vivacity, quickness of sight, boldness, spirit"
Fox;"subtlety, cunning, strategic thinking, adaptability, craftiness"
Goat;generation
Goose;"diligence, vigilance, care"
Grasshopper;"providence, labor, music"
Griffin;"vigilance, life"
Hare;"fertility, swiftness, vigilance, fear, cunning"
Hedgehog;"prudence, self-defense, foresight, industry"
Horse;"victory, magnanimity, courage of stomach, loyalty to masters, grief, empathy"
Leopard;"cowardice, treachery, deceit, malice"
Lion;"strength, courage, majesty, justice, royalty"
Owl;"prudence, vigilance, watchfulness, melancholy, singularness"
Panther;"felony, disposition, variety, change, wildness, gladness"
Pheasant;charity
Peacock;pride
Pelican;"self-sacrifice, redemption, salvation, responsibility, healing, protection, truth"
Phoenix;"majesty, resurrection, rebirth, eternal glory, purity, sacredness, longevity, renewal"
Raven;"beauty, industry, diligence, guidance, divination, ingenuity, loyalty, companionship"
Seahorse;"murder, impudence, violence, injustice"
Sheep;"utility, profit, humility, selfless giving"
Small bird;"temperance, harmony, oratory, solitude"
Snake;"beauty, danger, lethality, wariness, deception, prudence, subrlety, self-defence"
Stork;"piety, justice, faithfulness, loyalty"
Squirrel;"loyalty, affection, diligence"
Swan;"restoration, comfort, joy, music, gentleness, quietness"
Tiger;"cruelty, swiftness"
Tortoise;"industry, domestic management, prudence"
Unicorn;"strength, courage, purity of life, noble resistance, self-sacrifice, innocence"
Water horse;"industry, discretion, deliberation"
Weasel;"vigilance, pursuit of evil, devotion, protection, courage"
Wolf;"fierceness, treachery, cruelty, deception, destructiveness"
Human;
